City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Boundiali,CI,66.45,clear sky,9.5217,-6.4869,Hotel Paysan Boundiali
1,Kruisfontein,ZA,61.29,clear sky,-34.0033,24.7314,Oyster Bay House Rental
3,Peniche,PT,56.08,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
4,Cape Town,ZA,66.88,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
5,Sechura,PE,72.43,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
7,Puerto Baquerizo Moreno,EC,74.88,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
9,Ayacucho,PE,56.46,overcast clouds,-13.1583,-74.2239,Hotel Incasol
11,Ushuaia,AR,55.06,light intensity drizzle,-54.8,-68.3,Albatross Hotel
14,Saint-Louis,SN,68.95,broken clouds,16.3333,-15.0,
16,East London,ZA,71.29,clear sky,-33.0153,27.9116,Tu Casa
19,Grand-Santi,GF,71.02,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
21,Chuka,KE,59.07,few clouds,-0.3332,37.6459,Mountain Breeze Guest House
24,Balsas,BR,73.0,overcast clouds,-7.5325,-46.0356,Novo Hotel
25,Betare Oya,CM,65.59,clear sky,5.6,14.0833,Auberge Tembina Betaré Oya
26,Ponta Do Sol,PT,65.07,clear sky,32.6667,-17.1,Hotel do Campo
30,Ponta Delgada,PT,60.49,broken clouds,37.7333,-25.6667,Vila Nova Hotel
31,Hermanus,ZA,66.79,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
32,Punta Arenas,CL,57.31,light rain,-53.15,-70.9167,Hotel Hain
33,Saldanha,ZA,64.18,broken clouds,-33.0117,17.9442,Blue Bay Lodge
39,Bol,TD,65.84,clear sky,13.4586,14.7147,Hotel 3 Etoiles
44,Comodoro Rivadavia,AR,69.66,clear sky,-45.8667,-67.5,Austral Hotel
48,Mar Del Plata,AR,63.09,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
49,Port Alfred,ZA,71.65,few clouds,-33.5906,26.891,The Halyards Hotel
50,Douentza,ML,61.72,clear sky,14.9951,-2.9517,Ogomono Doumbo
51,Mabaruma,GY,70.84,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
52,Mongo,TD,67.1,clear sky,12.1844,18.693,Résidences du Programme FIDA
53,Bredasdorp,ZA,66.27,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
55,Ouro Preto Do Oeste,BR,73.11,light rain,-10.7481,-62.2158,Graúna Resort Hotel
57,Ribeira Grande,PT,59.99,broken clouds,38.5167,-28.7,Quinta da Meia Eira
58,Port Elizabeth,ZA,65.55,clear sky,-33.918,25.5701,39 On Nile Guest House
59,Riyadh,SA,55.54,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
61,Lagoa,PT,59.29,overcast clouds,39.05,-27.9833,Casa Das Faias
65,Kalamb,IN,70.45,scattered clouds,19.05,73.95,Hotel Ravikiran
66,Jijiga,ET,57.47,clear sky,9.35,42.8,RAMAAS HOTEL
68,Chuy,UY,71.1,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
69,Saurimo,AO,62.02,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
72,Manga,BF,71.31,clear sky,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
73,Tocopilla,CL,69.35,clear sky,-22.092,-70.1979,Hotel Galvarino
74,Boa Viagem,BR,71.94,broken clouds,-5.1275,-39.7322,Inn and Steakhouse Aconchego
75,Miraflores,MX,59.04,scattered clouds,19.2167,-98.8083,Hotel Mansión
76,Cidreira,BR,73.92,clear sky,-30.1811,-50.2056,Hotel Castelo
