City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Boundiali,CI,9.5217,-6.4869,66.45,16,3,3.56,clear sky
1,Kruisfontein,ZA,-34.0033,24.7314,61.29,77,0,4.03,clear sky
2,Luderitz,NA,-26.6481,15.1594,74.1,69,35,5.95,scattered clouds
3,Peniche,PT,39.3558,-9.3811,56.08,93,81,6.42,broken clouds
4,Cape Town,ZA,-33.9258,18.4232,66.88,82,67,3.0,broken clouds
5,Sechura,PE,-5.5569,-80.8222,72.43,78,64,8.7,broken clouds
6,Husavik,IS,66.0449,-17.3389,19.31,83,98,8.23,overcast clouds
7,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.88,88,99,7.92,overcast clouds
8,Longyearbyen,SJ,78.2186,15.6401,12.36,94,100,4.34,overcast clouds
9,Ayacucho,PE,-13.1583,-74.2239,56.46,80,99,1.77,overcast clouds
10,Batsfjord,NO,70.6345,29.7185,25.48,71,100,13.96,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,55.06,76,40,43.73,light intensity drizzle
12,Shache,CN,38.4167,77.2406,36.25,37,67,3.13,broken clouds
13,Kargopol,RU,61.5071,38.9456,19.69,94,100,7.61,overcast clouds
14,Saint-Louis,SN,16.3333,-15.0,68.95,13,66,12.44,broken clouds
15,Bressuire,FR,46.9167,-0.5,34.88,81,100,9.06,overcast clouds
16,East London,ZA,-33.0153,27.9116,71.29,86,0,4.43,clear sky
17,Tasiilaq,GL,65.6145,-37.6368,12.36,64,95,3.67,overcast clouds
18,Quepos,CR,9.4236,-84.1652,81.7,78,63,3.94,broken clouds
19,Grand-Santi,GF,4.25,-54.3833,71.02,100,86,1.86,overcast clouds
20,Monki,PL,53.405,22.7979,29.68,80,72,13.13,broken clouds
21,Chuka,KE,-0.3332,37.6459,59.07,74,13,4.29,few clouds
22,Klaksvik,FO,62.2266,-6.589,41.92,95,100,28.3,overcast clouds
23,Berlevag,NO,70.8578,29.0864,28.58,62,100,15.79,light snow
24,Balsas,BR,-7.5325,-46.0356,73.0,94,97,2.98,overcast clouds
25,Betare Oya,CM,5.6,14.0833,65.59,19,8,4.99,clear sky
26,Ponta Do Sol,PT,32.6667,-17.1,65.07,68,8,5.46,clear sky
27,Gobabis,NA,-22.45,18.9667,65.16,79,71,3.83,light rain
28,Artemovsk,UA,49.8406,36.0417,30.54,92,100,3.74,light snow
29,Nuuk,GL,64.1835,-51.7216,36.21,64,100,26.46,light snow
30,Ponta Delgada,PT,37.7333,-25.6667,60.49,67,75,10.36,broken clouds
31,Hermanus,ZA,-34.4187,19.2345,66.79,90,28,8.97,scattered clouds
32,Punta Arenas,CL,-53.15,-70.9167,57.31,77,75,23.02,light rain
33,Saldanha,ZA,-33.0117,17.9442,64.18,94,70,10.49,broken clouds
34,Codrington,AU,-38.2667,141.9667,77.54,45,5,14.88,clear sky
35,Jamestown,US,42.097,-79.2353,43.09,68,100,13.8,light rain
36,The Valley,AI,18.217,-63.0578,77.09,66,40,23.49,scattered clouds
37,Strathpeffer,GB,57.588,-4.5382,47.7,84,100,8.28,overcast clouds
38,Gazanjyk,TM,39.2446,55.5154,38.79,55,1,5.84,clear sky
39,Bol,TD,13.4586,14.7147,65.84,36,1,20.13,clear sky
40,Dikson,RU,73.5069,80.5464,3.13,80,100,27.78,overcast clouds
41,Inta,RU,66.0317,60.1659,5.95,78,100,10.49,overcast clouds
42,Qaanaaq,GL,77.484,-69.3632,-23.06,50,0,6.91,clear sky
43,Kudahuvadhoo,MV,2.6708,72.8944,80.98,68,94,2.71,overcast clouds
44,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,19,0,8.05,clear sky
45,Georgetown,MY,5.4112,100.3354,85.95,72,20,3.44,few clouds
46,Shubarkuduk,KZ,49.1447,56.4872,26.87,96,100,10.98,overcast clouds
47,Luba,GQ,3.4568,8.5547,79.48,85,16,4.88,few clouds
48,Mar Del Plata,AR,-38.0023,-57.5575,63.09,74,100,25.01,light rain
49,Port Alfred,ZA,-33.5906,26.891,71.65,88,14,3.67,few clouds
50,Douentza,ML,14.9951,-2.9517,61.72,20,0,5.59,clear sky
51,Mabaruma,GY,8.2,-59.7833,70.84,95,27,2.62,scattered clouds
52,Mongo,TD,12.1844,18.693,67.1,16,6,4.56,clear sky
53,Bredasdorp,ZA,-34.5322,20.0403,66.27,95,9,3.02,clear sky
54,Rochegda,RU,62.8,43.25,21.45,96,100,7.0,light snow
55,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,73.11,97,100,3.29,light rain
56,Caravelas,BR,-17.7125,-39.2481,75.22,90,42,3.71,scattered clouds
57,Ribeira Grande,PT,38.5167,-28.7,59.99,77,83,13.04,broken clouds
58,Port Elizabeth,ZA,-33.918,25.5701,65.55,85,1,2.86,clear sky
59,Riyadh,SA,24.6877,46.7219,55.54,38,84,14.12,broken clouds
60,Cockburn Town,TC,21.4612,-71.1419,77.43,84,3,22.93,clear sky
61,Lagoa,PT,39.05,-27.9833,59.29,79,93,17.0,overcast clouds
62,Abu Samrah,SY,35.3029,37.1841,43.36,83,0,5.32,clear sky
63,Ilulissat,GL,69.2167,-51.1,28.42,64,100,13.8,overcast clouds
64,Thinadhoo,MV,0.5333,72.9333,81.16,71,38,6.06,scattered clouds
65,Kalamb,IN,19.05,73.95,70.45,34,29,6.11,scattered clouds
66,Jijiga,ET,9.35,42.8,57.47,51,1,7.65,clear sky
67,Vestmanna,FO,62.1564,-7.1664,40.12,100,100,14.97,overcast clouds
68,Chuy,UY,-33.6971,-53.4616,71.1,88,47,8.57,scattered clouds
69,Saurimo,AO,-9.6608,20.3916,62.02,96,94,0.85,overcast clouds
70,Bandarbeyla,SO,9.4942,50.8122,75.67,57,33,12.97,scattered clouds
71,State College,US,40.7934,-77.86,45.79,70,75,5.01,broken clouds
